Country,Year,avg_goldstein,avg_tone,total_mentions,total_articles,event_count,ActionGeo_CountryCode
Canada,2005,0.8699189174676475,5.780096554475632,85063,84465,18623,CA
Canada,2006,0.3790382708075876,5.666459995313242,326447,253912,58478,CA
Canada,2007,0.8357320235852518,6.016631811659364,968658,872812,163492,CA
Canada,2008,0.6459893401992396,5.759404818097711,2138639,2021661,332464,CA
Canada,2009,0.9200943592999838,5.862525743698209,3844138,3719153,541759,CA
Canada,2010,0.9649971579164949,5.95987718586583,3556508,3448631,464448,CA
Canada,2011,0.9776010322191778,6.090354735898406,4266534,4155508,530895,CA
Canada,2012,0.865187430742218,5.478054194822586,6611327,6463158,710209,CA
Canada,2013,0.9882721880233835,2.6349399582029887,6203839,6092101,723075,CA
Canada,2014,0.7766909344074796,2.60891774927768,9426924,9218084,1005450,CA
Canada,2015,0.9875598659584844,-0.8368381262451317,20655700,20184831,1443435,CA
Canada,2016,1.0676703155156084,-1.0639074206729267,23675876,23099409,1705155,CA
Canada,2017,0.99481769789439,-1.0994242750078658,20163361,19660933,1606570,CA
Canada,2018,1.010447574977398,-1.2715337299477474,24665751,24026797,1627057,CA
Canada,2019,0.9394268120993426,-1.428417538004714,23675285,23158908,1463229,CA
Canada,2020,1.0679952562955972,-1.460753109319122,17856527,17440737,1172926,CA
Canada,2021,0.9616355078025077,-1.329205319103914,12351932,11988872,977250,CA
Canada,2022,0.986708086542558,-1.4089816800761312,9484273,9189033,837923,CA
Canada,2023,0.7900223344462355,-1.2439386657116311,17346780,16763588,1178001,CA
Canada,2024,0.8573914022037066,-1.2082203403658458,16039836,15501867,1119660,CA
Canada,2025,1.071903527720417,-0.7912698195188228,15133941,14607139,1093455,CA
China,1980,1.4580509966894413,5.731754343724625,117617,116416,28394,CH
China,1981,1.6829346807383556,6.092362983691803,101439,100374,24541,CH
China,1982,1.7401035699555472,6.250642895795914,92301,91346,21821,CH
China,1983,1.6657271757058312,5.7979971217989705,88372,87694,20614,CH
China,1984,1.7345164085754121,6.060272698395394,113877,112559,26541,CH
China,1985,1.7740199186840235,5.79242858184417,110960,109931,26809,CH
China,1986,1.791868946550281,5.903729023398063,106243,105098,25089,CH
China,1987,1.153905904874098,5.670916474362209,120099,118815,27164,CH
China,1988,1.347105693000279,5.494966051020326,111043,110002,25101,CH
China,1989,0.45863452888940154,5.818025383221498,204248,202411,43355,CH
China,1990,1.4390666180107865,6.243638293038776,104444,103287,24663,CH
China,1991,1.6876959082781113,6.291519166367958,184684,182349,38028,CH
China,1992,1.8355778689914857,6.599846039748474,123954,122576,29479,CH
China,1993,1.3192151041071911,5.9472794484664995,116799,115744,26271,CH
China,1994,1.2259770169523723,5.9133165614274015,193840,190749,42118,CH
China,1995,1.1697628577447405,5.9386748351619305,287982,282701,66458,CH
China,1996,1.3366345825414483,6.254767008728296,569298,558559,114179,CH
China,1997,1.8292322327237014,6.647705266711678,822355,805643,162940,CH
China,1998,1.5802470961650033,6.4532251620887,989444,975603,175802,CH
China,1999,1.2313965294205558,6.400017546579215,1137426,1119421,194031,CH
China,2000,1.3688438300051207,6.46657152045285,819989,788850,146475,CH
China,2001,1.4219356392426028,6.495857096659003,890152,879962,166095,CH
China,2002,1.506290580006852,6.479000793418727,604151,596865,119671,CH
China,2003,1.58452735584722,6.3296425077741105,1006419,995703,169525,CH
China,2004,1.458089795918368,6.231408671971112,696637,689582,134750,CH
China,2005,1.490889615409693,6.217927108477804,533437,527428,107361,CH
China,2006,1.5243003422387675,6.281908051788228,1255195,780774,217392,CH
China,2007,1.26748770856998,6.017798036330638,2329455,1820172,351261,CH
China,2008,1.073925062196869,5.567794565113532,3253319,2812030,477516,CH
China,2009,1.2414384477502238,5.814841993074695,6099647,5637206,729161,CH
China,2010,1.3881663045183943,6.016749305177179,6992451,6555030,707353,CH
China,2011,1.234309895138837,5.989870281070984,7794866,7420636,749944,CH
China,2012,1.0095131735203957,5.360253937946032,9328632,8968474,869017,CH
China,2013,1.246722677300513,2.586388521211365,8323476,8211365,856400,CH
China,2014,1.0610153028158351,2.4546917903862706,13702324,13493442,1240556,CH
China,2015,1.3267608954629733,-0.6976386001442169,23816868,23275793,1709245,CH
China,2016,1.2200948804984548,-1.0568209328986746,26164451,25538922,1946030,CH
China,2017,1.2344744652690667,-0.9572397939187199,22178845,21687113,1735504,CH
China,2018,1.333688802685915,-0.9515892653345136,23361917,22820400,1696255,CH
China,2019,1.0249927415719857,-1.499164688484213,22375612,21983342,1608499,CH
China,2020,0.7968418552652154,-2.4429352327097233,25900376,25413936,1726335,CH
China,2021,0.8848065625782063,-1.6237898298414348,15319217,15034791,1178808,CH
China,2022,1.0290902692100086,-1.4529430577747846,12703978,12438025,1005874,CH
China,2023,1.3036350080980568,-0.9058892923161028,19095283,18573440,1486159,CH
China,2024,1.2211891268539117,-0.672833195619289,13164981,12708648,1234827,CH
China,2025,1.318234330889507,-0.6492285986241265,12660872,12100181,1128558,CH
Colombia,1980,0.8578725200506547,4.80086766835203,10204,10168,2369,CO
Colombia,1981,-0.5659428571428572,3.7106014865703654,7960,7909,1750,CO
Colombia,1982,0.32734457323498417,5.037038001368484,7405,7391,1898,CO
Colombia,1983,0.8251963977773522,4.5846245893591915,19618,19519,5219,CO
Colombia,1984,0.5224294914501442,4.911698843552911,18555,18526,4503,CO
Colombia,1985,-0.19676428425148476,4.5943558464265735,20766,20593,4883,CO
Colombia,1986,-0.508498152575527,4.699119691717836,18506,18397,4601,CO
Colombia,1987,-0.506040268456376,4.135963588465642,12670,12631,3129,CO
Colombia,1988,-1.3051825430130093,4.237980755792747,18394,18322,4766,CO
Colombia,1989,-1.6963201143265447,4.204924972141763,47413,47195,11196,CO
Colombia,1990,-1.6067893698938864,4.467470595660328,44557,44291,10649,CO
Colombia,1991,-0.1717910447761194,4.3371962147787,34955,34688,6700,CO
Colombia,1992,-0.3269135802469135,4.317496983133929,15631,15500,4050,CO
Colombia,1993,-1.127104208416834,4.235474392409738,25712,25530,5988,CO
Colombia,1994,-0.5566479750778813,4.47357143642246,34084,33742,8025,CO
Colombia,1995,-0.4938361947649873,4.562459183846274,40761,40302,10659,CO
Colombia,1996,-0.09883158956928144,5.191427212281969,77871,77045,18829,CO
Colombia,1997,-0.051335752960076184,5.053631262128815,69548,68691,16807,CO
Colombia,1998,-0.16127371532081225,5.206438526846183,102047,101571,20978,CO
Colombia,1999,0.31794922818887356,5.3410862716607355,179782,178311,35177,CO
Colombia,2000,0.010354805046959473,5.2829065434633256,215979,208947,42164,CO
Colombia,2001,0.15649880991272688,5.561698756391368,191419,189943,42854,CO
Colombia,2002,-0.524792408066429,5.324843220580937,151345,150574,35406,CO
Colombia,2003,-0.2876304742455187,5.028668158759793,163656,162865,35256,CO
Colombia,2004,-0.34965511063334215,5.324741136281965,93107,92649,22326,CO
Colombia,2005,-0.7150088056878217,4.788911125633071,68826,68451,15331,CO
Colombia,2006,-0.15360497141547763,5.361252050221714,64106,34919,14161,CO
Colombia,2007,0.41297235516822645,5.5126516663135465,224778,159342,41997,CO
