Country,Year,Spending
Australia,2005,0.01793347817090834
Australia,2006,0.01814417083729927
Australia,2007,0.018077702699729175
Australia,2008,0.017911208333299736
Australia,2009,0.019173286348837797
Australia,2010,0.018468010962166517
Australia,2011,0.01749593390017852
Australia,2012,0.016642139448246034
Australia,2013,0.01630954585700115
Australia,2014,0.01764997713805468
Australia,2015,0.01944529671765117
Australia,2016,0.020813201298457613
Australia,2017,0.019974568637306962
Australia,2018,0.01888316264971602
Australia,2019,0.018722862730159745
Australia,2020,0.02001473296500921
Australia,2021,0.019734660404895847
Australia,2022,0.01877107967877591
Australia,2023,0.018555831996838017
Australia,2024,0.019021630715704306
Australia,2025,0.01917873083691095
Brazil,1980,0.01138434420743627
Brazil,1981,0.011431487681887622
Brazil,1982,0.013035343610749772
Brazil,1983,0.012545803230047402
Brazil,1984,0.011995410451653279
Brazil,1985,0.014295231221895298
Brazil,1986,0.012203887275014227
Brazil,1987,0.01743994031453669
Brazil,1988,0.021180722049862023
Brazil,1989,0.0268625
Brazil,1990,0.023638410251969867
Brazil,1991,0.019633333333333332
Brazil,1992,0.015215288611544461
Brazil,1993,0.019279228149829738
Brazil,1994,0.020160077891210035
Brazil,1995,0.0186213698033379
Brazil,1996,0.01654843499502908
Brazil,1997,0.015776883155177446
Brazil,1998,0.01662291919758236
Brazil,1999,0.016454746665698697
Brazil,2000,0.017307261471362696
Brazil,2001,0.01951882445325323
Brazil,2002,0.018957711991561658
Brazil,2003,0.015034776355450655
Brazil,2004,0.014612684089062083
Brazil,2005,0.015240134627331947
Brazil,2006,0.01481084956362861
Brazil,2007,0.014662920999290181
Brazil,2008,0.014419240883771708
Brazil,2009,0.015386256760121108
Brazil,2010,0.015394069812836171
Brazil,2011,0.014118511592452396
Brazil,2012,0.013786564647043673
Brazil,2013,0.013294460838255697
Brazil,2014,0.01330244423168003
Brazil,2015,0.013655171539616068
Brazil,2016,0.013479754129948217
Brazil,2017,0.014140216679758602
Brazil,2018,0.014696777235067083
Brazil,2019,0.013827972463879717
Brazil,2020,0.013266602686055517
Brazil,2021,0.011490376302614192
Brazil,2022,0.010524008384594486
Brazil,2023,0.009943852628593234
Brazil,2024,0.009590737136002959
Brazil,2025,0.010544932096497133
Canada,1980,0.01764448614777824
Canada,1981,0.017099156381511965
Canada,1982,0.019543435853829973
Canada,1983,0.020811962487785194
Canada,1984,0.021171888554257067
Canada,1985,0.020973762337507258
Canada,1986,0.021091971178891052
Canada,1987,0.02062576371010593
Canada,1988,0.019867671189083565
Canada,1989,0.019346143086503842
Canada,1990,0.01958793742214169
Canada,1991,0.018954443385806437
Canada,1992,0.01861687699862951
Canada,1993,0.01821753503927479
Canada,1994,0.016966802573186505
Canada,1995,0.015540900711477667
Canada,1996,0.014037525810645457
Canada,1997,0.012462432015116688
Canada,1998,0.012562939015686801
Canada,1999,0.012417030641025771
Canada,2000,0.011143498021374758
Canada,2001,0.01133356282813315
Canada,2002,0.011168691473694264
Canada,2003,0.011119373068833796
Canada,2004,0.011041893914268667
Canada,2005,0.01107105424208105
Canada,2006,0.01122524729320515
Canada,2007,0.011857902299670209
Canada,2008,0.01245518366775475
Canada,2009,0.01377555631075252
Canada,2010,0.011943383383912109
Canada,2011,0.011932918954963831
Canada,2012,0.011184045980710386
Canada,2013,0.010023672004739657
Canada,2014,0.010915287904444237
Canada,2015,0.011709557015254408
Canada,2016,0.011430987374940449
Canada,2017,0.012973776221701818
Canada,2018,0.012514254539456763
Canada,2019,0.01220374604668211
Canada,2020,0.014166486927427589
Canada,2021,0.01221379027398654
Canada,2022,0.011416483557651652
Canada,2023,0.013146777586915693
Canada,2024,0.013487460223428858
Canada,2025,0.01627447396350995
China,1980,
China,1981,
China,1982,
China,1983,
China,1984,
China,1985,
China,1986,
China,1987,
China,1988,
China,1989,0.024471013153258277
China,1990,0.02454016115527347
China,1991,0.023112434115531464
China,1992,0.02473736316475916
China,1993,0.019882669871606966
China,1994,0.017404449319823254
China,1995,0.01677768445434992
China,1996,0.016436425726093083
China,1997,0.016222696934733924
China,1998,0.016421968604039713
China,1999,0.018547847220009458
China,2000,0.01817122778735756
China,2001,0.019602031124079867
China,2002,0.020327374282708588
China,2003,0.019682847762508397
China,2004,0.01910324373006541
China,2005,0.018463439990556607
China,2006,0.018432182484891747
China,2007,0.017240735848177542
China,2008,0.01689197989115741
China,2009,0.018614565608681282
China,2010,0.01704021933195119
China,2011,0.016330858192468937
China,2012,0.016731971884429406
China,2013,0.016839621267270302
China,2014,0.01706015659415741
